広告管理 ＞ メディア ＞ 広告枠

"メディアオーナーID","メディアオーナー名","広告枠ID","広告枠名","メディアID","メディア名","クリエイティブサイズ","ステータス","設定","特別保証期間(From)","メモ","Imp","Click","CTR","CV","CVR","グロス","ネット","利益","price","CPC(グロス)","CPA(グロス)","eCPM(グロス)","CPC(ネット)","eCPM(ネット)"
"5","【SSP】bdc4_株式会社ジーニー ","94876","【f_38466】Appmedia_1334059_SP3_And_レクタングル_AX-AD用","5232","Appmedia","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","94883","【f_28252】Appmedia_1334060_SP4 iOS_レクタングル_AX-AD用","5232","Appmedia","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","94886","【f_40609】Appmedia_1334064_SP6 iOS_レクタングル_AX-AD用","5232","Appmedia","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","94887","【f_30636】Appmedia_1334065_SP6 And_レクタングル_AX-AD用","5232","Appmedia","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","94891","【f_40610】アルテマ_1086839_ミドルAnd①_レクタングル_AX-AD用","5175","アルテマ","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","94892","【f_28280】アルテマ_1086846_ミドルAnd④_レクタングル_AX-AD用","5175","アルテマ","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","99888","【f_91913】1569038_pixiv(Mobile用)R18_t_comment_tag_男性向け_300x250_And_レクタングル_AX-AD用 ","15566","pixiv(Mobile用)R18","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","24/11/29","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","99889","【f_90648】1569046_pixiv(Mobile用)R18_t_manga_footer_男性向け_300x250_And_レクタングル_AX-AD用 ","15566","pixiv(Mobile用)R18","4 ﾚｸﾀﾝｸﾞﾙ","オン","カテ","24/11/29","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","99890","【f_90650】1569066_pixiv(Mobile用)R18_t_novel_comment_tag_男性向け_300x250_And_レクタングル_AX-AD用 ","15566","pixiv(Mobile用)R18","4 ﾚｸﾀﾝｸﾞﾙ","オフ","カテ","25/01/18","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
"5","【SSP】bdc4_株式会社ジーニー ","101563","【f_91911】1569040_pixiv(Mobile用)R18_t_footer_男性向け_300x250_And_レクタングル_AX-AD用 ","15566","pixiv(Mobile用)R18","4 ﾚｸﾀﾝｸﾞﾙ","オン","カテ","24/12/20","",0,0,"0.00000%",0,"0.000%",0,0,0,0,-,-,-,-,-
